ID,Age,Gender,Undergraduate_Major,Undergraduate_GPA,WorkYrsExp,CrtJob,Present_Salary,MngExp,Undergrade_UniRank,Entrepreneurial_Interest,Networking,Scholarship_Type,Post_Job,Expected_Salary,Post_Work_Loc,Reason,Study_Type,Response,TOEIC_Score
63,22,Female,Arts,3.94,3,Entrepreneur,66035,No,174,5.0,6.2,Loan,Startup Founder,137232,Domestic,Entrepreneurship,On-Campus,Yes,500
64,30,Male,Arts,3.57,3,Analyst,44542,Yes,474,1.1,8.0,Employer,Consultant,188759,Domestic,Entrepreneurship,On-Campus,No,750
65,29,Female,Engineering,2.45,6,Entrepreneur,100790,No,184,5.1,3.7,Scholarship,Finance Manager,89214,Domestic,Skill Enhancement,Online,Yes,800
66,30,Female,Arts,2.61,7,Consultant,99739,Yes,465,1.1,7.4,Self-funded,Consultant,124906,International,Networking,Online,No,600
67,25,Male,Science,2.2,6,Manager,68658,Yes,316,8.1,8.9,Self-funded,Consultant,121106,International,Skill Enhancement,Online,Yes,600
68,22,Male,Engineering,3.29,9,Consultant,42452,No,83,4.3,8.7,Scholarship,Executive,73063,Domestic,Networking,Online,No,500
69,24,Male,Science,2.36,3,Analyst,52681,No,75,6.5,5.2,Employer,Finance Manager,60638,International,Skill Enhancement,Online,No,500
70,32,Female,Science,2.51,3,Analyst,50826,No,263,7.9,7.0,Self-funded,Startup Founder,72292,International,Skill Enhancement,Online,No,500
71,32,Female,Arts,3.78,7,Analyst,47432,Yes,397,1.2,8.5,Self-funded,Consultant,125581,Domestic,Networking,On-Campus,Yes,900
72,27,Female,Arts,2.65,8,Consultant,48343,No,115,5.7,2.4,Loan,Startup Founder,106510,International,Skill Enhancement,Online,Yes,900
73,32,Male,Engineering,3.13,6,Manager,82850,No,153,6.7,9.6,Employer,Executive,101864,Domestic,Entrepreneurship,On-Campus,Yes,800
74,33,Female,Business,2.8,2,Entrepreneur,84827,No,498,5.2,6.4,Loan,Startup Founder,108454,International,Skill Enhancement,On-Campus,Yes,500
75,28,Male,Engineering,2.15,9,Manager,70659,No,112,3.8,3.5,Scholarship,Marketing Director,185373,International,Career Growth,Online,No,990
76,23,Male,Science,2.73,0,Manager,94237,No,140,5.2,5.7,Employer,Finance Manager,104198,Domestic,Career Growth,On-Campus,Yes,700
77,34,Female,Arts,2.82,4,Engineer,77841,No,31,4.5,7.6,Self-funded,Consultant,65161,International,Career Growth,Online,No,500
78,21,Male,Science,3.79,5,Manager,72201,No,220,6.5,8.4,Loan,Executive,133405,Domestic,Career Growth,Online,Yes,850
79,24,Female,Economics,2.65,8,Entrepreneur,50314,No,271,5.2,3.8,Scholarship,Startup Founder,151555,Domestic,Networking,Online,No,800
80,22,Male,Economics,2.76,4,Engineer,84517,No,97,2.2,4.1,Employer,Executive,111746,International,Skill Enhancement,On-Campus,No,800
81,28,Female,Science,3.57,0,Manager,77416,No,11,1.8,8.4,Self-funded,Marketing Director,176129,Domestic,Entrepreneurship,Online,No,500
82,24,Male,Business,3.52,3,Engineer,104603,Yes,103,2.5,8.6,Loan,Executive,151288,International,Skill Enhancement,Online,Yes,500
83,22,Female,Business,3.6,1,Manager,41912,No,416,1.6,7.2,Scholarship,Finance Manager,147654,International,Networking,Online,Yes,900
84,34,Male,Engineering,3.91,3,Analyst,109637,No,464,3.3,7.2,Self-funded,Finance Manager,142419,International,Entrepreneurship,On-Campus,Yes,850
85,26,Male,Engineering,3.59,6,Analyst,85755,Yes,265,1.6,3.3,Employer,Finance Manager,162146,International,Entrepreneurship,Online,Yes,800
86,26,Female,Engineering,2.82,8,Manager,45941,Yes,52,6.4,9.6,Scholarship,Marketing Director,190372,Domestic,Career Growth,Online,Yes,850
87,30,Male,Arts,3.64,2,Engineer,84938,Yes,169,5.0,8.7,Self-funded,Finance Manager,106980,Domestic,Career Growth,Online,Yes,500
88,24,Female,Business,3.02,2,Entrepreneur,44591,No,140,3.3,8.8,Scholarship,Marketing Director,89201,Domestic,Networking,Online,Yes,500
89,26,Other,Science,2.56,3,Analyst,58281,No,83,1.1,2.8,Loan,Consultant,122117,Domestic,Networking,Online,Yes,990
90,33,Male,Economics,2.61,6,Engineer,41730,Yes,462,2.3,9.9,Scholarship,Marketing Director,171803,Domestic,Entrepreneurship,Online,Yes,600
91,22,Male,Business,2.45,5,Entrepreneur,39011,Yes,268,7.0,5.0,Self-funded,Startup Founder,157273,Domestic,Entrepreneurship,On-Campus,Yes,800
92,30,Female,Business,2.29,4,Engineer,66677,No,448,3.2,7.1,Self-funded,Finance Manager,71983,International,Skill Enhancement,On-Campus,Yes,700
93,32,Other,Business,2.37,3,Manager,92969,No,344,4.0,9.1,Employer,Executive,176575,Domestic,Skill Enhancement,Online,No,650
94,22,Female,Engineering,2.13,7,Analyst,74976,Yes,73,1.7,1.9,Employer,Marketing Director,146540,International,Networking,On-Campus,Yes,700
95,30,Female,Arts,3.78,3,Analyst,97420,No,469,5.9,3.9,Employer,Consultant,174242,Domestic,Networking,On-Campus,No,750
96,34,Female,Science,3.86,2,Analyst,100038,No,140,8.2,4.3,Scholarship,Startup Founder,124413,International,Career Growth,On-Campus,No,990
97,24,Male,Engineering,3.17,6,Manager,58564,No,109,4.2,8.0,Loan,Consultant,91714,Domestic,Skill Enhancement,On-Campus,No,990
98,34,Other,Arts,3.68,1,Entrepreneur,37497,No,37,2.0,3.7,Employer,Consultant,123172,Domestic,Skill Enhancement,Online,No,600
99,28,Other,Business,2.37,3,Entrepreneur,38298,Yes,133,9.6,4.5,Self-funded,Startup Founder,125586,Domestic,Career Growth,Online,No,850
100,34,Male,Arts,3.8,7,Analyst,40887,No,9,5.6,4.4,Scholarship,Finance Manager,65290,Domestic,Career Growth,On-Campus,No,500
101,27,Male,Engineering,3.01,3,Entrepreneur,40677,No,185,1.8,9.2,Scholarship,Executive,135378,International,Networking,Online,No,600
102,32,Male,Business,2.13,9,Analyst,59362,No,243,5.5,1.0,Scholarship,Startup Founder,198441,International,Networking,On-Campus,Yes,800
103,29,Male,Engineering,2.28,6,Entrepreneur,50413,Yes,148,1.4,2.3,Loan,Finance Manager,89204,Domestic,Career Growth,On-Campus,Yes,700
104,34,Female,Science,2.62,1,Analyst,64193,No,70,1.5,9.4,Employer,Finance Manager,60801,International,Networking,Online,Yes,750
105,28,Male,Business,2.09,4,Entrepreneur,100141,No,232,3.9,6.5,Scholarship,Marketing Director,151636,International,Skill Enhancement,Online,Yes,850
106,25,Male,Arts,2.62,3,Engineer,110563,No,370,7.1,1.8,Scholarship,Finance Manager,116400,International,Skill Enhancement,On-Campus,Yes,500
107,33,Male,Engineering,2.12,8,Analyst,50440,No,382,7.3,5.3,Loan,Startup Founder,185944,International,Entrepreneurship,On-Campus,No,900
108,22,Other,Economics,2.47,6,Analyst,95776,Yes,397,9.1,9.4,Scholarship,Finance Manager,146529,International,Career Growth,Online,No,990
109,25,Female,Arts,2.53,8,Consultant,47880,Yes,336,2.0,7.8,Self-funded,Marketing Director,97372,Domestic,Entrepreneurship,On-Campus,No,550
110,28,Male,Arts,3.99,9,Analyst,76365,Yes,468,5.2,3.3,Scholarship,Marketing Director,164217,International,Networking,Online,Yes,900
111,30,Male,Business,2.47,6,Entrepreneur,89850,No,133,5.3,4.9,Scholarship,Executive,121771,International,Networking,On-Campus,Yes,650
112,29,Other,Arts,2.48,1,Engineer,59466,No,118,5.1,5.4,Self-funded,Startup Founder,130581,International,Skill Enhancement,On-Campus,Yes,700
113,32,Female,Engineering,3.37,1,Engineer,41164,Yes,171,8.6,7.9,Scholarship,Startup Founder,137215,International,Skill Enhancement,Online,Yes,600
114,32,Male,Economics,3.72,1,Entrepreneur,58595,No,337,8.3,8.0,Scholarship,Executive,63558,International,Career Growth,Online,No,750
115,32,Male,Science,2.77,4,Manager,81913,No,182,5.6,3.6,Self-funded,Startup Founder,153036,Domestic,Career Growth,On-Campus,Yes,500
116,33,Male,Economics,3.75,0,Analyst,63373,No,318,8.0,7.5,Scholarship,Consultant,72276,International,Entrepreneurship,Online,Yes,850
117,29,Male,Engineering,2.68,6,Engineer,61178,No,266,1.5,9.8,Self-funded,Marketing Director,74306,Domestic,Networking,On-Campus,Yes,600
118,33,Female,Business,2.39,1,Entrepreneur,31038,No,158,5.8,1.7,Scholarship,Consultant,144884,International,Networking,On-Campus,Yes,900
119,33,Female,Engineering,2.66,3,Engineer,63174,Yes,263,1.9,8.3,Self-funded,Finance Manager,102876,Domestic,Networking,Online,Yes,500
120,21,Male,Arts,3.22,8,Engineer,96607,Yes,185,8.8,6.3,Employer,Executive,171362,Domestic,Career Growth,Online,Yes,990
121,29,Female,Business,2.73,7,Entrepreneur,119750,Yes,139,5.5,4.4,Self-funded,Consultant,151324,Domestic,Skill Enhancement,Online,No,750
122,27,Male,Science,3.35,9,Consultant,83361,No,200,1.2,8.1,Scholarship,Finance Manager,71494,International,Career Growth,Online,No,850
123,29,Female,Science,2.47,1,Engineer,51005,No,307,5.9,3.9,Loan,Startup Founder,86631,Domestic,Entrepreneurship,Online,No,850
124,28,Female,Engineering,3.4,3,Engineer,118008,Yes,64,7.6,4.0,Employer,Startup Founder,153772,International,Networking,On-Campus,Yes,850
125,21,Male,Arts,2.69,3,Manager,75877,Yes,229,2.2,5.5,Self-funded,Finance Manager,84153,Domestic,Skill Enhancement,On-Campus,Yes,900
126,32,Male,Science,2.91,1,Consultant,50827,Yes,31,3.5,5.1,Self-funded,Finance Manager,163848,International,Entrepreneurship,On-Campus,No,850
127,28,Female,Economics,3.12,1,Manager,92405,Yes,112,5.0,2.2,Self-funded,Finance Manager,73133,Domestic,Networking,Online,Yes,500
128,28,Male,Business,3.37,4,Entrepreneur,77274,No,1,4.7,1.2,Scholarship,Finance Manager,67948,International,Entrepreneurship,On-Campus,No,990
129,31,Male,Economics,2.48,3,Analyst,80604,No,89,5.5,6.7,Scholarship,Finance Manager,182300,Domestic,Networking,Online,Yes,700
130,23,Female,Science,3.67,7,Entrepreneur,114373,Yes,442,1.1,4.0,Scholarship,Executive,74139,Domestic,Career Growth,Online,Yes,550
131,21,Other,Science,3.44,3,Consultant,98523,Yes,348,7.6,5.7,Self-funded,Finance Manager,96349,International,Skill Enhancement,Online,Yes,550
132,28,Male,Engineering,2.47,7,Entrepreneur,49173,No,215,3.8,2.8,Loan,Startup Founder,163129,Domestic,Networking,On-Campus,Yes,800
133,23,Female,Engineering,3.95,4,Consultant,30200,Yes,307,7.3,6.1,Employer,Startup Founder,176036,Domestic,Entrepreneurship,Online,Yes,800
134,23,Male,Business,3.33,0,Manager,70593,No,349,8.7,4.0,Scholarship,Executive,72135,Domestic,Skill Enhancement,Online,No,800
135,21,Female,Engineering,2.9,8,Engineer,52584,Yes,406,7.2,6.5,Employer,Finance Manager,129018,International,Skill Enhancement,Online,Yes,500
136,31,Female,Arts,2.32,7,Entrepreneur,109956,No,202,7.0,7.1,Loan,Marketing Director,171559,International,Career Growth,On-Campus,No,850
137,25,Female,Business,3.07,0,Entrepreneur,88126,No,46,6.2,1.0,Scholarship,Startup Founder,62790,Domestic,Career Growth,On-Campus,Yes,500
138,30,Male,Arts,2.33,2,Engineer,35225,Yes,401,1.0,4.9,Self-funded,Finance Manager,70454,International,Entrepreneurship,Online,Yes,600
139,27,Female,Engineering,2.86,2,Entrepreneur,100457,Yes,269,9.1,7.5,Scholarship,Marketing Director,135081,International,Career Growth,Online,Yes,650
140,30,Female,Business,2.82,4,Entrepreneur,66481,No,336,8.5,7.7,Self-funded,Marketing Director,61293,Domestic,Skill Enhancement,On-Campus,No,900
141,29,Male,Science,3.44,6,Analyst,52036,No,379,2.8,4.4,Loan,Consultant,61345,Domestic,Career Growth,On-Campus,No,650
142,32,Male,Economics,2.38,0,Analyst,39130,No,371,2.6,8.4,Scholarship,Marketing Director,120541,Domestic,Entrepreneurship,On-Campus,Yes,800
143,27,Male,Science,3.64,0,Engineer,65884,No,76,1.3,6.9,Employer,Marketing Director,75016,Domestic,Entrepreneurship,Online,No,750
144,29,Male,Arts,2.65,9,Manager,56996,No,240,4.4,9.9,Employer,Startup Founder,88830,International,Skill Enhancement,On-Campus,Yes,750
145,28,Female,Science,2.89,5,Entrepreneur,84342,Yes,113,9.9,5.6,Scholarship,Marketing Director,174922,International,Networking,Online,Yes,700
146,32,Male,Science,3.54,4,Entrepreneur,71723,Yes,207,1.9,4.4,Scholarship,Marketing Director,182931,International,Networking,On-Campus,Yes,800
147,22,Male,Economics,3.25,2,Manager,67387,Yes,295,6.1,9.3,Scholarship,Startup Founder,118026,International,Career Growth,Online,No,600
148,21,Female,Economics,2.62,2,Entrepreneur,89142,Yes,275,3.4,4.6,Employer,Consultant,197236,International,Career Growth,Online,No,750
149,27,Male,Science,2.77,3,Manager,100724,No,213,8.8,6.8,Employer,Consultant,108925,Domestic,Networking,On-Campus,No,700
150,27,Female,Economics,2.61,9,Engineer,92574,Yes,317,5.6,8.4,Self-funded,Finance Manager,196746,International,Networking,Online,Yes,700
151,34,Male,Science,3.19,1,Engineer,67734,Yes,96,8.7,5.1,Employer,Finance Manager,113436,Domestic,Skill Enhancement,Online,No,850
152,28,Other,Business,2.67,8,Manager,104997,Yes,389,9.4,5.0,Loan,Marketing Director,77151,International,Career Growth,On-Campus,No,600
153,25,Female,Science,3.45,3,Manager,46342,Yes,57,6.7,3.6,Employer,Marketing Director,107648,International,Entrepreneurship,Online,No,500
154,23,Female,Engineering,3.16,9,Consultant,53924,Yes,47,3.5,9.7,Scholarship,Finance Manager,64740,International,Skill Enhancement,Online,Yes,990
155,32,Male,Economics,2.29,2,Analyst,116113,Yes,335,5.0,9.5,Employer,Finance Manager,101016,Domestic,Career Growth,Online,Yes,550
156,28,Female,Economics,2.62,9,Analyst,73800,No,160,6.7,5.2,Employer,Marketing Director,164484,International,Skill Enhancement,Online,Yes,500
157,26,Male,Arts,2.44,6,Entrepreneur,51825,No,1,6.9,3.9,Employer,Startup Founder,147125,International,Skill Enhancement,On-Campus,Yes,850
158,31,Male,Arts,2.78,8,Entrepreneur,110690,No,207,1.6,2.2,Loan,Startup Founder,122951,International,Career Growth,Online,No,700
159,23,Male,Engineering,3.03,1,Manager,71633,No,35,4.2,5.3,Loan,Startup Founder,60740,International,Skill Enhancement,Online,Yes,500
160,21,Female,Economics,3.01,5,Manager,67372,No,212,5.8,9.0,Loan,Finance Manager,145800,International,Networking,On-Campus,Yes,650
161,23,Male,Economics,3.51,4,Analyst,71901,Yes,159,4.0,8.8,Loan,Consultant,174757,Domestic,Networking,On-Campus,Yes,600
162,25,Female,Arts,2.38,0,Entrepreneur,47326,No,404,6.2,2.0,Employer,Finance Manager,164667,Domestic,Career Growth,Online,No,500
163,34,Male,Arts,3.89,6,Analyst,99279,No,303,2.6,5.4,Scholarship,Startup Founder,112111,International,Entrepreneurship,Online,Yes,990
164,23,Male,Science,2.69,0,Engineer,101819,Yes,24,1.3,8.3,Scholarship,Executive,67340,Domestic,Entrepreneurship,On-Campus,No,750
165,21,Female,Economics,2.6,9,Analyst,66604,No,40,4.1,8.5,Scholarship,Startup Founder,110440,International,Career Growth,Online,No,990
166,25,Male,Economics,3.37,8,Analyst,110274,Yes,330,6.1,9.4,Scholarship,Executive,95298,International,Networking,On-Campus,Yes,750
167,30,Female,Science,3.61,3,Manager,39381,Yes,334,1.1,2.8,Employer,Startup Founder,90642,Domestic,Skill Enhancement,Online,Yes,500
168,27,Male,Economics,2.76,7,Entrepreneur,75816,Yes,249,6.5,4.7,Loan,Startup Founder,138234,Domestic,Entrepreneurship,Online,Yes,500
169,34,Female,Engineering,3.49,0,Engineer,73913,No,483,4.2,9.6,Employer,Executive,68431,Domestic,Career Growth,On-Campus,No,800
170,27,Female,Arts,3.77,4,Analyst,40505,No,382,9.9,3.4,Loan,Startup Founder,77343,Domestic,Networking,On-Campus,Yes,600
171,31,Male,Arts,3.53,2,Analyst,92818,Yes,192,8.0,4.0,Self-funded,Executive,185100,International,Entrepreneurship,Online,No,500
172,29,Male,Arts,2.07,3,Manager,45414,No,93,3.6,3.0,Self-funded,Executive,115825,Domestic,Skill Enhancement,On-Campus,Yes,700
173,30,Female,Business,3.65,3,Consultant,102927,Yes,201,9.7,5.8,Employer,Finance Manager,162981,Domestic,Networking,On-Campus,Yes,800
174,30,Female,Engineering,3.55,7,Entrepreneur,54311,Yes,120,3.5,5.8,Loan,Consultant,194874,Domestic,Career Growth,On-Campus,Yes,650
175,32,Male,Engineering,3.34,9,Entrepreneur,64677,Yes,244,2.0,8.4,Self-funded,Finance Manager,180081,International,Networking,Online,No,850
176,33,Male,Science,3.52,9,Entrepreneur,89590,No,138,1.2,4.7,Loan,Consultant,122538,International,Career Growth,On-Campus,No,500
177,23,Female,Business,3.96,2,Analyst,65442,No,256,8.1,3.3,Self-funded,Consultant,132513,Domestic,Entrepreneurship,On-Campus,No,500
178,27,Female,Economics,2.86,0,Analyst,33324,Yes,117,3.9,8.5,Self-funded,Startup Founder,179377,International,Networking,On-Campus,Yes,500
179,21,Male,Engineering,2.13,4,Analyst,117753,No,445,9.9,6.8,Self-funded,Executive,179566,Domestic,Entrepreneurship,On-Campus,No,700
180,24,Male,Business,2.92,1,Consultant,98138,No,2,6.6,2.4,Self-funded,Consultant,140629,International,Career Growth,On-Campus,Yes,600
181,33,Male,Business,2.09,5,Analyst,117717,Yes,279,2.5,6.1,Loan,Consultant,62702,International,Networking,On-Campus,No,800
182,24,Female,Engineering,2.59,3,Entrepreneur,95690,No,338,4.0,5.1,Self-funded,Consultant,141769,International,Skill Enhancement,Online,Yes,550
183,34,Male,Science,3.17,8,Entrepreneur,57423,No,193,5.6,8.6,Loan,Executive,96189,Domestic,Networking,Online,Yes,990
184,25,Other,Business,2.62,6,Manager,93151,No,442,7.5,6.4,Self-funded,Marketing Director,130089,International,Career Growth,On-Campus,No,600
185,27,Male,Arts,3.37,1,Consultant,42057,No,395,6.3,8.1,Self-funded,Consultant,167891,Domestic,Entrepreneurship,Online,Yes,850
186,27,Male,Business,3.64,6,Engineer,91397,No,357,3.3,5.2,Self-funded,Executive,173019,Domestic,Entrepreneurship,Online,No,800
187,33,Female,Economics,2.84,9,Analyst,74601,Yes,381,5.3,9.8,Loan,Executive,65125,Domestic,Skill Enhancement,On-Campus,No,550
188,31,Female,Engineering,3.8,7,Engineer,73339,Yes,420,2.9,8.2,Scholarship,Marketing Director,102926,International,Career Growth,Online,Yes,750
189,33,Female,Economics,2.16,2,Analyst,50887,No,353,4.1,6.4,Loan,Finance Manager,154484,Domestic,Entrepreneurship,Online,Yes,850
190,24,Male,Science,3.68,2,Consultant,31527,No,63,3.6,8.3,Employer,Consultant,66346,Domestic,Entrepreneurship,Online,Yes,850
